learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 20:18:21.050892: epoch: 1 | totalReward = 75.0 | epsilon = 1.0 | pipes passed = 0
2025-11-27 20:18:23.233670: epoch: 2 | totalReward = 312.0 | epsilon = 0.995 | pipes passed = 1
2025-11-27 20:18:25.592812: epoch: 3 | totalReward = 230.0 | epsilon = 0.990025 | pipes passed = 0
2025-11-27 20:18:27.306336: epoch: 4 | totalReward = 235.0 | epsilon = 0.985074875 | pipes passed = 0
2025-11-27 20:18:29.218768: epoch: 5 | totalReward = 270.0 | epsilon = 0.9801495006250001 | pipes passed = 1
2025-11-27 20:18:30.901892: epoch: 6 | totalReward = 230.0 | epsilon = 0.9752487531218751 | pipes passed = 0
2025-11-27 20:18:33.970647: epoch: 7 | totalReward = 445.0 | epsilon = 0.9703725093562657 | pipes passed = 1
2025-11-27 20:18:35.720449: epoch: 8 | totalReward = 240.0 | epsilon = 0.9655206468094844 | pipes passed = 0
2025-11-27 20:18:37.404424: epoch: 9 | totalReward = 230.0 | epsilon = 0.960693043575437 | pipes passed = 0
2025-11-27 20:18:40.770138: epoch: 10 | totalReward = 490.0 | epsilon = 0.9558895783575597 | pipes passed = 1
2025-11-27 20:18:42.453035: epoch: 11 | totalReward = 230.0 | epsilon = 0.9511101304657719 | pipes passed = 0
2025-11-27 20:18:44.136008: epoch: 12 | totalReward = 230.0 | epsilon = 0.946354579813443 | pipes passed = 0
2025-11-27 20:18:45.653715: epoch: 13 | totalReward = 205.0 | epsilon = 0.9416228069143757 | pipes passed = 0
2025-11-27 20:18:47.338476: epoch: 14 | totalReward = 230.0 | epsilon = 0.9369146928798039 | pipes passed = 0
2025-11-27 20:18:49.019396: epoch: 15 | totalReward = 230.0 | epsilon = 0.9322301194154049 | pipes passed = 0
2025-11-27 20:18:50.703620: epoch: 16 | totalReward = 230.0 | epsilon = 0.9275689688183278 | pipes passed = 0
2025-11-27 20:18:52.387644: epoch: 17 | totalReward = 230.0 | epsilon = 0.9229311239742362 | pipes passed = 0
2025-11-27 20:18:54.433281: epoch: 18 | totalReward = 290.0 | epsilon = 0.918316468354365 | pipes passed = 1
2025-11-27 20:18:56.120529: epoch: 19 | totalReward = 230.0 | epsilon = 0.9137248860125932 | pipes passed = 0
2025-11-27 20:18:57.803194: epoch: 20 | totalReward = 230.0 | epsilon = 0.9091562615825302 | pipes passed = 0
2025-11-27 20:18:59.485411: epoch: 21 | totalReward = 230.0 | epsilon = 0.9046104802746175 | pipes passed = 0
2025-11-27 20:19:01.170612: epoch: 22 | totalReward = 230.0 | epsilon = 0.9000874278732445 | pipes passed = 0
2025-11-27 20:19:02.422561: epoch: 23 | totalReward = 165.0 | epsilon = 0.8955869907338783 | pipes passed = 0
2025-11-27 20:19:03.379866: epoch: 24 | totalReward = 120.0 | epsilon = 0.8911090557802088 | pipes passed = 0
2025-11-27 20:19:05.064878: epoch: 25 | totalReward = 230.0 | epsilon = 0.8866535105013078 | pipes passed = 0
2025-11-27 20:19:06.745887: epoch: 26 | totalReward = 230.0 | epsilon = 0.8822202429488013 | pipes passed = 0
2025-11-27 20:19:08.000712: epoch: 27 | totalReward = 165.0 | epsilon = 0.8778091417340573 | pipes passed = 0
2025-11-27 20:19:08.991016: epoch: 28 | totalReward = 125.0 | epsilon = 0.8734200960253871 | pipes passed = 0
