Hyperparameters:
learningRate: 0.0003
maxMemory: 50000
gamma: 0.99
batchSize: 64
epsilon: 0.95
epsilonDecayRate: 0.999
epsilonMin: 0.05
hidden_nodes: 128
ddqn_enable: True
tau: 0.005
train: True

Game Config:
pipe_prob: 0.9
pipe_spacing: 150
num_portals: 1
crystal_prob: 0.2
max_steps_per_epoch: 500

Reward Config:
pass_pipe: 100.0
crystal: 75.0
portal: 50.0
death: -10.0
survival: 1.0

2025-11-28 10:44:01.482580: epoch: 1 | totalReward = 40.0 | epsilon = 0.950 | pipes passed = 0
2025-11-28 10:44:03.165253: epoch: 2 | totalReward = 80.0 | epsilon = 0.950 | pipes passed = 0
2025-11-28 10:44:05.739632: epoch: 3 | totalReward = 40.0 | epsilon = 0.949 | pipes passed = 0
2025-11-28 10:44:07.421038: epoch: 4 | totalReward = 80.0 | epsilon = 0.949 | pipes passed = 0
2025-11-28 10:44:11.163453: epoch: 5 | totalReward = 151.0 | epsilon = 0.948 | pipes passed = 0
2025-11-28 10:44:12.852835: epoch: 6 | totalReward = 191.0 | epsilon = 0.948 | pipes passed = 0
2025-11-28 10:44:14.552733: epoch: 7 | totalReward = 40.0 | epsilon = 0.947 | pipes passed = 0
2025-11-28 10:44:16.234641: epoch: 8 | totalReward = 80.0 | epsilon = 0.947 | pipes passed = 0
2025-11-28 10:44:19.548474: epoch: 9 | totalReward = 40.0 | epsilon = 0.946 | pipes passed = 0
2025-11-28 10:44:21.394743: epoch: 10 | totalReward = 85.0 | epsilon = 0.946 | pipes passed = 0
2025-11-28 10:44:26.413701: epoch: 11 | totalReward = 264.0 | epsilon = 0.945 | pipes passed = 0
2025-11-28 10:44:28.097117: epoch: 12 | totalReward = 304.0 | epsilon = 0.945 | pipes passed = 0
2025-11-28 10:44:29.788719: epoch: 13 | totalReward = 40.0 | epsilon = 0.944 | pipes passed = 0
2025-11-28 10:44:31.472216: epoch: 14 | totalReward = 80.0 | epsilon = 0.944 | pipes passed = 0
2025-11-28 10:44:36.664163: epoch: 15 | totalReward = 195.0 | epsilon = 0.943 | pipes passed = 0
