learningRate: 0.0003
maxMemory: 50000
gamma: 0.99
batchSize: 64
epsilon: 0.95
epsilonDecayRate: 0.999
epsilonMin: 0.05
hidden_nodes: 128
ddqn_enable: True
tau: 0.005
train: True

2025-11-28 10:31:16.812873: epoch: 53 | totalReward = 40.0 | epsilon = 0.9256062941402272 | pipes passed = 0
2025-11-28 10:31:18.494258: epoch: 54 | totalReward = 80.0 | epsilon = 0.9256062941402272 | pipes passed = 0
2025-11-28 10:31:20.183696: epoch: 55 | totalReward = 40.0 | epsilon = 0.924680687846087 | pipes passed = 0
2025-11-28 10:31:21.867325: epoch: 56 | totalReward = 80.0 | epsilon = 0.924680687846087 | pipes passed = 0
2025-11-28 10:31:23.567522: epoch: 57 | totalReward = 40.0 | epsilon = 0.9237560071582409 | pipes passed = 0
2025-11-28 10:31:25.248279: epoch: 58 | totalReward = 80.0 | epsilon = 0.9237560071582409 | pipes passed = 0
2025-11-28 10:31:26.940963: epoch: 59 | totalReward = 40.0 | epsilon = 0.9228322511510827 | pipes passed = 0
2025-11-28 10:31:28.622871: epoch: 60 | totalReward = 80.0 | epsilon = 0.9228322511510827 | pipes passed = 0
2025-11-28 10:31:30.321072: epoch: 61 | totalReward = 40.0 | epsilon = 0.9219094188999316 | pipes passed = 0
2025-11-28 10:31:32.001553: epoch: 62 | totalReward = 80.0 | epsilon = 0.9219094188999316 | pipes passed = 0
2025-11-28 10:31:35.087116: epoch: 63 | totalReward = 181.0 | epsilon = 0.9209875094810317 | pipes passed = 1
2025-11-28 10:31:36.774121: epoch: 64 | totalReward = 221.0 | epsilon = 0.9209875094810317 | pipes passed = 0
2025-11-28 10:31:38.475294: epoch: 65 | totalReward = 40.0 | epsilon = 0.9200665219715507 | pipes passed = 0
