learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 20:38:32.801211: epoch: 1 | totalReward = 230.0 | epsilon = 1.0 | pipes passed = 0
2025-11-27 20:38:34.490641: epoch: 2 | totalReward = 230.0 | epsilon = 0.995 | pipes passed = 0
2025-11-27 20:38:36.668416: epoch: 3 | totalReward = 230.0 | epsilon = 0.990025 | pipes passed = 0
2025-11-27 20:38:38.347849: epoch: 4 | totalReward = 230.0 | epsilon = 0.985074875 | pipes passed = 0
2025-11-27 20:38:40.228290: epoch: 5 | totalReward = 290.0 | epsilon = 0.9801495006250001 | pipes passed = 1
2025-11-27 20:38:41.913265: epoch: 6 | totalReward = 230.0 | epsilon = 0.9752487531218751 | pipes passed = 0
2025-11-27 20:38:43.598164: epoch: 7 | totalReward = 230.0 | epsilon = 0.9703725093562657 | pipes passed = 0
2025-11-27 20:38:45.278540: epoch: 8 | totalReward = 230.0 | epsilon = 0.9655206468094844 | pipes passed = 0
2025-11-27 20:38:47.035155: epoch: 9 | totalReward = 230.0 | epsilon = 0.960693043575437 | pipes passed = 0
2025-11-27 20:38:49.242667: epoch: 10 | totalReward = 275.0 | epsilon = 0.9558895783575597 | pipes passed = 1
2025-11-27 20:38:51.452747: epoch: 11 | totalReward = 315.0 | epsilon = 0.9511101304657719 | pipes passed = 1
2025-11-27 20:38:53.136554: epoch: 12 | totalReward = 230.0 | epsilon = 0.946354579813443 | pipes passed = 0
2025-11-27 20:38:53.895912: epoch: 13 | totalReward = 90.0 | epsilon = 0.9416228069143757 | pipes passed = 0
2025-11-27 20:38:56.965273: epoch: 14 | totalReward = 445.0 | epsilon = 0.9369146928798039 | pipes passed = 1
2025-11-27 20:38:57.723440: epoch: 15 | totalReward = 90.0 | epsilon = 0.9322301194154049 | pipes passed = 0
2025-11-27 20:38:59.405838: epoch: 16 | totalReward = 230.0 | epsilon = 0.9275689688183278 | pipes passed = 0
2025-11-27 20:39:00.858865: epoch: 17 | totalReward = 195.0 | epsilon = 0.9229311239742362 | pipes passed = 0
2025-11-27 20:39:02.542760: epoch: 18 | totalReward = 230.0 | epsilon = 0.918316468354365 | pipes passed = 0
2025-11-27 20:39:04.226068: epoch: 19 | totalReward = 230.0 | epsilon = 0.9137248860125932 | pipes passed = 0
2025-11-27 20:39:05.907576: epoch: 20 | totalReward = 230.0 | epsilon = 0.9091562615825302 | pipes passed = 0
2025-11-27 20:39:07.857939: epoch: 21 | totalReward = 230.0 | epsilon = 0.9046104802746175 | pipes passed = 0
2025-11-27 20:39:08.876236: epoch: 22 | totalReward = 95.0 | epsilon = 0.9000874278732445 | pipes passed = 0
2025-11-27 20:39:11.171376: epoch: 23 | totalReward = 290.0 | epsilon = 0.8955869907338783 | pipes passed = 1
2025-11-27 20:39:13.038553: epoch: 24 | totalReward = 230.0 | epsilon = 0.8911090557802088 | pipes passed = 0
2025-11-27 20:39:14.454106: epoch: 25 | totalReward = 190.0 | epsilon = 0.8866535105013078 | pipes passed = 0
2025-11-27 20:39:15.778129: epoch: 26 | totalReward = 175.0 | epsilon = 0.8822202429488013 | pipes passed = 0
2025-11-27 20:39:17.470096: epoch: 27 | totalReward = 230.0 | epsilon = 0.8778091417340573 | pipes passed = 0
2025-11-27 20:39:18.136070: epoch: 28 | totalReward = 75.0 | epsilon = 0.8734200960253871 | pipes passed = 0
2025-11-27 20:39:18.799934: epoch: 29 | totalReward = 75.0 | epsilon = 0.8690529955452602 | pipes passed = 0
2025-11-27 20:39:20.588068: epoch: 30 | totalReward = 245.0 | epsilon = 0.8647077305675338 | pipes passed = 0
2025-11-27 20:39:22.281116: epoch: 31 | totalReward = 230.0 | epsilon = 0.8603841919146962 | pipes passed = 0
2025-11-27 20:39:24.063212: epoch: 32 | totalReward = 245.0 | epsilon = 0.8560822709551227 | pipes passed = 0
2025-11-27 20:39:25.748791: epoch: 33 | totalReward = 230.0 | epsilon = 0.851801859600347 | pipes passed = 0
2025-11-27 20:39:26.545166: epoch: 34 | totalReward = 95.0 | epsilon = 0.8475428503023453 | pipes passed = 0
2025-11-27 20:39:28.253937: epoch: 35 | totalReward = 230.0 | epsilon = 0.8433051360508336 | pipes passed = 0
2025-11-27 20:39:29.950836: epoch: 36 | totalReward = 230.0 | epsilon = 0.8390886103705794 | pipes passed = 0
2025-11-27 20:39:31.651590: epoch: 37 | totalReward = 230.0 | epsilon = 0.8348931673187264 | pipes passed = 0
2025-11-27 20:39:33.308092: epoch: 38 | totalReward = 225.0 | epsilon = 0.8307187014821328 | pipes passed = 0
2025-11-27 20:39:34.873820: epoch: 39 | totalReward = 210.0 | epsilon = 0.8265651079747222 | pipes passed = 0
2025-11-27 20:39:35.557896: epoch: 40 | totalReward = 75.0 | epsilon = 0.8224322824348486 | pipes passed = 0
2025-11-27 20:39:37.192767: epoch: 41 | totalReward = 220.0 | epsilon = 0.8183201210226743 | pipes passed = 0
2025-11-27 20:39:38.659796: epoch: 42 | totalReward = 195.0 | epsilon = 0.8142285204175609 | pipes passed = 0
2025-11-27 20:39:40.363371: epoch: 43 | totalReward = 230.0 | epsilon = 0.810157377815473 | pipes passed = 0
2025-11-27 20:39:42.062345: epoch: 44 | totalReward = 230.0 | epsilon = 0.8061065909263957 | pipes passed = 0
2025-11-27 20:39:43.787515: epoch: 45 | totalReward = 230.0 | epsilon = 0.8020760579717637 | pipes passed = 0
2025-11-27 20:39:45.482451: epoch: 46 | totalReward = 230.0 | epsilon = 0.798065677681905 | pipes passed = 0
2025-11-27 20:39:46.656060: epoch: 47 | totalReward = 150.0 | epsilon = 0.7940753492934954 | pipes passed = 0
2025-11-27 20:39:48.529697: epoch: 48 | totalReward = 290.0 | epsilon = 0.7901049725470279 | pipes passed = 1
2025-11-27 20:39:50.211822: epoch: 49 | totalReward = 230.0 | epsilon = 0.7861544476842928 | pipes passed = 0
2025-11-27 20:39:51.931640: epoch: 50 | totalReward = 235.0 | epsilon = 0.7822236754458713 | pipes passed = 0
2025-11-27 20:39:53.875823: epoch: 51 | totalReward = 275.0 | epsilon = 0.778312557068642 | pipes passed = 1
2025-11-27 20:39:54.536242: epoch: 52 | totalReward = 75.0 | epsilon = 0.7744209942832988 | pipes passed = 0
