Hyperparameters:
learningRate: 0.0003
maxMemory: 50000
gamma: 0.99
batchSize: 64
epsilon: 0.95
epsilonDecayRate: 0.999
epsilonMin: 0.05
hidden_nodes: 128
ddqn_enable: True
tau: 0.005
train: True

Game Config:
pipe_prob: 0.9
pipe_spacing: 150
num_portals: 1
crystal_prob: 0.2
max_steps_per_epoch: 500

Reward Config:
pass_pipe: 100.0
crystal: 75.0
portal: 50.0
death: -10.0
survival: 1.0

2025-11-28 11:41:07.592121: epoch: 1 | totalReward = 35.0 | epsilon = 0.950 | pipes passed = 0
2025-11-28 11:41:09.275561: epoch: 2 | totalReward = 75.0 | epsilon = 0.950 | pipes passed = 0
2025-11-28 11:41:12.635066: epoch: 3 | totalReward = 40.0 | epsilon = 0.949 | pipes passed = 0
2025-11-28 11:41:14.351668: epoch: 4 | totalReward = 81.0 | epsilon = 0.949 | pipes passed = 0
2025-11-28 11:41:16.035867: epoch: 5 | totalReward = 40.0 | epsilon = 0.948 | pipes passed = 0
2025-11-28 11:41:17.718522: epoch: 6 | totalReward = 80.0 | epsilon = 0.948 | pipes passed = 0
2025-11-28 11:41:19.103946: epoch: 7 | totalReward = 31.0 | epsilon = 0.947 | pipes passed = 0
2025-11-28 11:41:25.109344: epoch: 8 | totalReward = 671.0 | epsilon = 0.947 | pipes passed = 2
2025-11-28 11:41:26.793307: epoch: 9 | totalReward = 40.0 | epsilon = 0.946 | pipes passed = 0
2025-11-28 11:41:28.476410: epoch: 10 | totalReward = 80.0 | epsilon = 0.946 | pipes passed = 0
2025-11-28 11:41:30.159130: epoch: 11 | totalReward = 40.0 | epsilon = 0.945 | pipes passed = 0
2025-11-28 11:41:31.843662: epoch: 12 | totalReward = 80.0 | epsilon = 0.945 | pipes passed = 0
2025-11-28 11:41:33.526138: epoch: 13 | totalReward = 40.0 | epsilon = 0.944 | pipes passed = 0
2025-11-28 11:41:37.153203: epoch: 14 | totalReward = 188.0 | epsilon = 0.944 | pipes passed = 0
2025-11-28 11:41:42.864951: epoch: 15 | totalReward = 261.0 | epsilon = 0.943 | pipes passed = 1
2025-11-28 11:41:44.581142: epoch: 16 | totalReward = 302.0 | epsilon = 0.943 | pipes passed = 0
2025-11-28 11:41:46.264369: epoch: 17 | totalReward = 40.0 | epsilon = 0.942 | pipes passed = 0
2025-11-28 11:41:49.990437: epoch: 18 | totalReward = 290.0 | epsilon = 0.942 | pipes passed = 1
