learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 20:10:09.213023: epoch: 49 | totalReward = -4.600000000000003 | epsilon = 0.7861544476842928 | pipes passed = 0
2025-11-27 20:10:11.093842: epoch: 50 | totalReward = 15.599999999999996 | epsilon = 0.7822236754458713 | pipes passed = 1
2025-11-27 20:10:12.316533: epoch: 51 | totalReward = -6.399999999999999 | epsilon = 0.778312557068642 | pipes passed = 0
2025-11-27 20:10:14.000993: epoch: 52 | totalReward = -5.000000000000002 | epsilon = 0.7744209942832988 | pipes passed = 0
2025-11-27 20:10:15.683200: epoch: 53 | totalReward = -5.000000000000002 | epsilon = 0.7705488893118823 | pipes passed = 0
2025-11-27 20:10:17.366327: epoch: 54 | totalReward = -5.000000000000002 | epsilon = 0.7666961448653229 | pipes passed = 0
2025-11-27 20:10:19.049625: epoch: 55 | totalReward = -5.000000000000002 | epsilon = 0.7628626641409962 | pipes passed = 0
2025-11-27 20:10:20.570424: epoch: 56 | totalReward = -5.5 | epsilon = 0.7590483508202912 | pipes passed = 0
2025-11-27 20:10:21.259756: epoch: 57 | totalReward = -8.0 | epsilon = 0.7552531090661897 | pipes passed = 0
2025-11-27 20:10:22.645994: epoch: 58 | totalReward = -5.899999999999999 | epsilon = 0.7514768435208588 | pipes passed = 0
2025-11-27 20:10:24.329096: epoch: 59 | totalReward = -5.000000000000002 | epsilon = 0.7477194593032545 | pipes passed = 0
2025-11-27 20:10:26.012332: epoch: 60 | totalReward = -5.000000000000002 | epsilon = 0.7439808620067382 | pipes passed = 0
2025-11-27 20:10:26.672433: epoch: 61 | totalReward = -8.1 | epsilon = 0.7402609576967045 | pipes passed = 0
2025-11-27 20:10:28.354576: epoch: 62 | totalReward = -5.000000000000002 | epsilon = 0.736559652908221 | pipes passed = 0
2025-11-27 20:10:30.037760: epoch: 63 | totalReward = -5.000000000000002 | epsilon = 0.7328768546436799 | pipes passed = 0
2025-11-27 20:10:31.721947: epoch: 64 | totalReward = -5.000000000000002 | epsilon = 0.7292124703704616 | pipes passed = 0
2025-11-27 20:10:33.403719: epoch: 65 | totalReward = -5.000000000000002 | epsilon = 0.7255664080186093 | pipes passed = 0
2025-11-27 20:10:35.089227: epoch: 66 | totalReward = -5.000000000000002 | epsilon = 0.7219385759785162 | pipes passed = 0
