learningRate: 0.001
maxMemory: 100000
gamma: 0.99
batchSize: 64
epsilon: 1.0
epsilonDecayRate: 0.995
epsilonMin: 0.01
hidden_nodes: 128
ddqn_enable: True
tau: 0.01
train: True

2025-11-27 19:53:00.704133: epoch: 1 | totalReward = -7.6 | epsilon = 1.0 | pipes passed = 0
2025-11-27 19:53:02.393271: epoch: 2 | totalReward = -5.000000000000002 | epsilon = 0.995 | pipes passed = 0
2025-11-27 19:53:05.755995: epoch: 3 | totalReward = 8.000000000000021 | epsilon = 0.990025 | pipes passed = 1
2025-11-27 19:53:07.440263: epoch: 4 | totalReward = -5.000000000000002 | epsilon = 0.985074875 | pipes passed = 0
2025-11-27 19:53:09.122991: epoch: 5 | totalReward = -5.000000000000002 | epsilon = 0.9801495006250001 | pipes passed = 0
2025-11-27 19:53:10.812104: epoch: 6 | totalReward = -5.000000000000002 | epsilon = 0.9752487531218751 | pipes passed = 0
2025-11-27 19:53:12.784308: epoch: 7 | totalReward = 10.7 | epsilon = 0.9703725093562657 | pipes passed = 1
2025-11-27 19:53:13.943642: epoch: 8 | totalReward = -6.599999999999998 | epsilon = 0.9655206468094844 | pipes passed = 0
2025-11-27 19:53:15.627484: epoch: 9 | totalReward = -5.000000000000002 | epsilon = 0.960693043575437 | pipes passed = 0
2025-11-27 19:53:16.416201: epoch: 10 | totalReward = -7.699999999999999 | epsilon = 0.9558895783575597 | pipes passed = 0
2025-11-27 19:53:17.967841: epoch: 11 | totalReward = -5.4 | epsilon = 0.9511101304657719 | pipes passed = 0
2025-11-27 19:53:19.091306: epoch: 12 | totalReward = -6.699999999999998 | epsilon = 0.946354579813443 | pipes passed = 0
2025-11-27 19:53:20.046365: epoch: 13 | totalReward = -7.199999999999999 | epsilon = 0.9416228069143757 | pipes passed = 0
2025-11-27 19:53:21.335337: epoch: 14 | totalReward = -6.1999999999999975 | epsilon = 0.9369146928798039 | pipes passed = 0
2025-11-27 19:53:22.424979: epoch: 15 | totalReward = -6.799999999999999 | epsilon = 0.9322301194154049 | pipes passed = 0
2025-11-27 19:53:24.105762: epoch: 16 | totalReward = -5.000000000000002 | epsilon = 0.9275689688183278 | pipes passed = 0
2025-11-27 19:53:25.789328: epoch: 17 | totalReward = -5.000000000000002 | epsilon = 0.9229311239742362 | pipes passed = 0
2025-11-27 19:53:27.473565: epoch: 18 | totalReward = -5.000000000000002 | epsilon = 0.918316468354365 | pipes passed = 0
2025-11-27 19:53:29.158269: epoch: 19 | totalReward = -5.000000000000002 | epsilon = 0.9137248860125932 | pipes passed = 0
2025-11-27 19:53:30.839392: epoch: 20 | totalReward = -5.000000000000002 | epsilon = 0.9091562615825302 | pipes passed = 0
2025-11-27 19:53:32.522459: epoch: 21 | totalReward = -5.000000000000002 | epsilon = 0.9046104802746175 | pipes passed = 0
2025-11-27 19:53:33.246305: epoch: 22 | totalReward = -7.8999999999999995 | epsilon = 0.9000874278732445 | pipes passed = 0
2025-11-27 19:53:35.030283: epoch: 23 | totalReward = -4.700000000000003 | epsilon = 0.8955869907338783 | pipes passed = 0
2025-11-27 19:53:36.712770: epoch: 24 | totalReward = -5.000000000000002 | epsilon = 0.8911090557802088 | pipes passed = 0
2025-11-27 19:53:37.870575: epoch: 25 | totalReward = -6.599999999999998 | epsilon = 0.8866535105013078 | pipes passed = 0
2025-11-27 19:53:39.485305: epoch: 26 | totalReward = -5.200000000000001 | epsilon = 0.8822202429488013 | pipes passed = 0
2025-11-27 19:53:40.574508: epoch: 27 | totalReward = -6.799999999999999 | epsilon = 0.8778091417340573 | pipes passed = 0
2025-11-27 19:53:41.631242: epoch: 28 | totalReward = -6.899999999999999 | epsilon = 0.8734200960253871 | pipes passed = 0
2025-11-27 19:53:43.312896: epoch: 29 | totalReward = -5.000000000000002 | epsilon = 0.8690529955452602 | pipes passed = 0
2025-11-27 19:53:44.995616: epoch: 30 | totalReward = -5.000000000000002 | epsilon = 0.8647077305675338 | pipes passed = 0
2025-11-27 19:53:46.745034: epoch: 31 | totalReward = -4.8000000000000025 | epsilon = 0.8603841919146962 | pipes passed = 0
2025-11-27 19:53:48.526537: epoch: 32 | totalReward = -4.700000000000003 | epsilon = 0.8560822709551227 | pipes passed = 0
2025-11-27 19:53:49.681557: epoch: 33 | totalReward = -6.599999999999998 | epsilon = 0.851801859600347 | pipes passed = 0
2025-11-27 19:53:51.365671: epoch: 34 | totalReward = -5.000000000000002 | epsilon = 0.8475428503023453 | pipes passed = 0
2025-11-27 19:53:53.047516: epoch: 35 | totalReward = -5.000000000000002 | epsilon = 0.8433051360508336 | pipes passed = 0
2025-11-27 19:53:54.830285: epoch: 36 | totalReward = -4.700000000000003 | epsilon = 0.8390886103705794 | pipes passed = 0
2025-11-27 19:53:55.984676: epoch: 37 | totalReward = -6.599999999999998 | epsilon = 0.8348931673187264 | pipes passed = 0
2025-11-27 19:53:57.667799: epoch: 38 | totalReward = -5.000000000000002 | epsilon = 0.8307187014821328 | pipes passed = 0
2025-11-27 19:53:58.922015: epoch: 39 | totalReward = -6.299999999999998 | epsilon = 0.8265651079747222 | pipes passed = 0
2025-11-27 19:53:59.944667: epoch: 40 | totalReward = -6.999999999999998 | epsilon = 0.8224322824348486 | pipes passed = 0
2025-11-27 19:54:00.737396: epoch: 41 | totalReward = -7.699999999999999 | epsilon = 0.8183201210226743 | pipes passed = 0
2025-11-27 19:54:01.760162: epoch: 42 | totalReward = -6.999999999999998 | epsilon = 0.8142285204175609 | pipes passed = 0
2025-11-27 19:54:03.376012: epoch: 43 | totalReward = -5.200000000000001 | epsilon = 0.810157377815473 | pipes passed = 0
2025-11-27 19:54:04.036336: epoch: 44 | totalReward = -8.1 | epsilon = 0.8061065909263957 | pipes passed = 0
2025-11-27 19:54:04.696031: epoch: 45 | totalReward = -8.1 | epsilon = 0.8020760579717637 | pipes passed = 0
2025-11-27 19:54:06.379465: epoch: 46 | totalReward = -5.000000000000002 | epsilon = 0.798065677681905 | pipes passed = 0
2025-11-27 19:54:08.062498: epoch: 47 | totalReward = -5.000000000000002 | epsilon = 0.7940753492934954 | pipes passed = 0
2025-11-27 19:54:10.010118: epoch: 48 | totalReward = 5.699999999999996 | epsilon = 0.7901049725470279 | pipes passed = 1
2025-11-27 19:54:10.738567: epoch: 49 | totalReward = -7.8999999999999995 | epsilon = 0.7861544476842928 | pipes passed = 0
2025-11-27 19:54:11.693517: epoch: 50 | totalReward = -7.199999999999999 | epsilon = 0.7822236754458713 | pipes passed = 0
2025-11-27 19:54:13.079670: epoch: 51 | totalReward = -5.899999999999999 | epsilon = 0.778312557068642 | pipes passed = 0
2025-11-27 19:54:14.696909: epoch: 52 | totalReward = -5.200000000000001 | epsilon = 0.7744209942832988 | pipes passed = 0
2025-11-27 19:54:16.379469: epoch: 53 | totalReward = -5.000000000000002 | epsilon = 0.7705488893118823 | pipes passed = 0
2025-11-27 19:54:18.062065: epoch: 54 | totalReward = -5.000000000000002 | epsilon = 0.7666961448653229 | pipes passed = 0
2025-11-27 19:54:19.745686: epoch: 55 | totalReward = -5.000000000000002 | epsilon = 0.7628626641409962 | pipes passed = 0
2025-11-27 19:54:20.866245: epoch: 56 | totalReward = -6.699999999999998 | epsilon = 0.7590483508202912 | pipes passed = 0
2025-11-27 19:54:21.725065: epoch: 57 | totalReward = -7.499999999999999 | epsilon = 0.7552531090661897 | pipes passed = 0
2025-11-27 19:54:23.673073: epoch: 58 | totalReward = 5.699999999999996 | epsilon = 0.7514768435208588 | pipes passed = 1
2025-11-27 19:54:25.486813: epoch: 59 | totalReward = -4.600000000000003 | epsilon = 0.7477194593032545 | pipes passed = 0
2025-11-27 19:54:26.443476: epoch: 60 | totalReward = -7.199999999999999 | epsilon = 0.7439808620067382 | pipes passed = 0
2025-11-27 19:54:27.797695: epoch: 61 | totalReward = -5.999999999999998 | epsilon = 0.7402609576967045 | pipes passed = 0
2025-11-27 19:54:29.084776: epoch: 62 | totalReward = -6.1999999999999975 | epsilon = 0.736559652908221 | pipes passed = 0
2025-11-27 19:54:30.436797: epoch: 63 | totalReward = -5.999999999999998 | epsilon = 0.7328768546436799 | pipes passed = 0
2025-11-27 19:54:32.121213: epoch: 64 | totalReward = -5.000000000000002 | epsilon = 0.7292124703704616 | pipes passed = 0
2025-11-27 19:54:33.505855: epoch: 65 | totalReward = -5.899999999999999 | epsilon = 0.7255664080186093 | pipes passed = 0
2025-11-27 19:54:35.189266: epoch: 66 | totalReward = -5.000000000000002 | epsilon = 0.7219385759785162 | pipes passed = 0
2025-11-27 19:54:36.872416: epoch: 67 | totalReward = -5.000000000000002 | epsilon = 0.7183288830986236 | pipes passed = 0
2025-11-27 19:54:37.730917: epoch: 68 | totalReward = -7.499999999999999 | epsilon = 0.7147372386831305 | pipes passed = 0
2025-11-27 19:54:38.521944: epoch: 69 | totalReward = -7.699999999999999 | epsilon = 0.7111635524897149 | pipes passed = 0
2025-11-27 19:54:39.413575: epoch: 70 | totalReward = -7.399999999999999 | epsilon = 0.7076077347272662 | pipes passed = 0
2025-11-27 19:54:40.370001: epoch: 71 | totalReward = -7.199999999999999 | epsilon = 0.7040696960536299 | pipes passed = 0
2025-11-27 19:54:42.053913: epoch: 72 | totalReward = -5.000000000000002 | epsilon = 0.7005493475733617 | pipes passed = 0
2025-11-27 19:54:43.736349: epoch: 73 | totalReward = -5.000000000000002 | epsilon = 0.697046600835495 | pipes passed = 0
2025-11-27 19:54:45.419985: epoch: 74 | totalReward = -5.000000000000002 | epsilon = 0.6935613678313175 | pipes passed = 0
2025-11-27 19:54:47.102361: epoch: 75 | totalReward = -5.000000000000002 | epsilon = 0.6900935609921609 | pipes passed = 0
2025-11-27 19:54:48.026882: epoch: 76 | totalReward = -7.299999999999999 | epsilon = 0.6866430931872001 | pipes passed = 0
2025-11-27 19:54:49.709593: epoch: 77 | totalReward = -5.000000000000002 | epsilon = 0.6832098777212641 | pipes passed = 0
2025-11-27 19:54:50.566367: epoch: 78 | totalReward = -7.499999999999999 | epsilon = 0.6797938283326578 | pipes passed = 0
2025-11-27 19:54:51.623472: epoch: 79 | totalReward = -6.899999999999999 | epsilon = 0.6763948591909945 | pipes passed = 0
2025-11-27 19:54:52.348745: epoch: 80 | totalReward = -7.8999999999999995 | epsilon = 0.6730128848950395 | pipes passed = 0
2025-11-27 19:54:53.140365: epoch: 81 | totalReward = -7.699999999999999 | epsilon = 0.6696478204705644 | pipes passed = 0
2025-11-27 19:54:53.999885: epoch: 82 | totalReward = -7.499999999999999 | epsilon = 0.6662995813682115 | pipes passed = 0
2025-11-27 19:54:54.923626: epoch: 83 | totalReward = -7.299999999999999 | epsilon = 0.6629680834613705 | pipes passed = 0
2025-11-27 19:54:55.764644: epoch: 84 | totalReward = -7.6 | epsilon = 0.6596532430440636 | pipes passed = 0
2025-11-27 19:54:57.459877: epoch: 85 | totalReward = -5.000000000000002 | epsilon = 0.6563549768288433 | pipes passed = 0
2025-11-27 19:54:58.153648: epoch: 86 | totalReward = -8.0 | epsilon = 0.653073201944699 | pipes passed = 0
2025-11-27 19:54:59.836914: epoch: 87 | totalReward = -5.000000000000002 | epsilon = 0.6498078359349755 | pipes passed = 0
2025-11-27 19:55:01.519855: epoch: 88 | totalReward = -5.000000000000002 | epsilon = 0.6465587967553006 | pipes passed = 0
2025-11-27 19:55:02.213057: epoch: 89 | totalReward = -8.0 | epsilon = 0.6433260027715241 | pipes passed = 0
2025-11-27 19:55:02.936805: epoch: 90 | totalReward = -7.8999999999999995 | epsilon = 0.6401093727576664 | pipes passed = 0
2025-11-27 19:55:03.730425: epoch: 91 | totalReward = -7.699999999999999 | epsilon = 0.6369088258938781 | pipes passed = 0
2025-11-27 19:55:04.522765: epoch: 92 | totalReward = -7.699999999999999 | epsilon = 0.6337242817644086 | pipes passed = 0
2025-11-27 19:55:05.676356: epoch: 93 | totalReward = -6.599999999999998 | epsilon = 0.6305556603555866 | pipes passed = 0
2025-11-27 19:55:07.360769: epoch: 94 | totalReward = -5.000000000000002 | epsilon = 0.6274028820538087 | pipes passed = 0
2025-11-27 19:55:09.340058: epoch: 95 | totalReward = 5.799999999999995 | epsilon = 0.6242658676435396 | pipes passed = 1
2025-11-27 19:55:11.214750: epoch: 96 | totalReward = -4.600000000000003 | epsilon = 0.6211445383053219 | pipes passed = 0
2025-11-27 19:55:12.937315: epoch: 97 | totalReward = -5.000000000000002 | epsilon = 0.6180388156137953 | pipes passed = 0
2025-11-27 19:55:13.598753: epoch: 98 | totalReward = -8.1 | epsilon = 0.6149486215357263 | pipes passed = 0
2025-11-27 19:55:16.630859: epoch: 99 | totalReward = 9.000000000000036 | epsilon = 0.6118738784280476 | pipes passed = 1
2025-11-27 19:55:17.357773: epoch: 100 | totalReward = -7.8999999999999995 | epsilon = 0.6088145090359074 | pipes passed = 0
2025-11-27 19:55:18.097405: epoch: 101 | totalReward = -7.8999999999999995 | epsilon = 0.6057704364907278 | pipes passed = 0
2025-11-27 19:55:18.791388: epoch: 102 | totalReward = -8.0 | epsilon = 0.6027415843082742 | pipes passed = 0
2025-11-27 19:55:19.550185: epoch: 103 | totalReward = -7.799999999999999 | epsilon = 0.5997278763867329 | pipes passed = 0
2025-11-27 19:55:21.233264: epoch: 104 | totalReward = -5.000000000000002 | epsilon = 0.5967292370047992 | pipes passed = 0
2025-11-27 19:55:22.916232: epoch: 105 | totalReward = -5.000000000000002 | epsilon = 0.5937455908197752 | pipes passed = 0
2025-11-27 19:55:24.170909: epoch: 106 | totalReward = -6.299999999999998 | epsilon = 0.5907768628656763 | pipes passed = 0
2025-11-27 19:55:25.324937: epoch: 107 | totalReward = -6.599999999999998 | epsilon = 0.5878229785513479 | pipes passed = 0
2025-11-27 19:55:25.984445: epoch: 108 | totalReward = -8.1 | epsilon = 0.5848838636585911 | pipes passed = 0
2025-11-27 19:55:27.668593: epoch: 109 | totalReward = -5.000000000000002 | epsilon = 0.5819594443402982 | pipes passed = 0
2025-11-27 19:55:28.822919: epoch: 110 | totalReward = -6.599999999999998 | epsilon = 0.5790496471185967 | pipes passed = 0
2025-11-27 19:55:30.474049: epoch: 111 | totalReward = -5.100000000000001 | epsilon = 0.5761543988830038 | pipes passed = 0
2025-11-27 19:55:32.156647: epoch: 112 | totalReward = -5.000000000000002 | epsilon = 0.5732736268885887 | pipes passed = 0
2025-11-27 19:55:33.608407: epoch: 113 | totalReward = -5.699999999999999 | epsilon = 0.5704072587541458 | pipes passed = 0
2025-11-27 19:55:35.291832: epoch: 114 | totalReward = -5.000000000000002 | epsilon = 0.567555222460375 | pipes passed = 0
2025-11-27 19:55:37.042436: epoch: 115 | totalReward = -4.8000000000000025 | epsilon = 0.5647174463480732 | pipes passed = 0
2025-11-27 19:55:38.734960: epoch: 116 | totalReward = -5.000000000000002 | epsilon = 0.5618938591163328 | pipes passed = 0
